"Data Import Template"
"Table:","Report"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Report","","","","","","","","","","",""
"Column Labels:","ID","Report Name","Ref DocType","Is Standard","Report Type","Add Total Row","Disabled","Apply User Permissions","Query","Javascript","JSON","Module"
"","""Custom Stock Balance""","Stock Balance","Stock Ledger Entry","Yes","Script Report",0,0,1,"","","","SF Custom Changes"
"","""Sales Order Report""","Sales Order Report","Sales Order","No","Report Builder",0,0,1,"","","{""filters"":[[""Sales Order"",""docstatus"",""!="",""2""]],""columns"":[[""name"",""Sales Order""],[""customer"",""Sales Order""],[""transaction_date"",""Sales Order""],[""delivery_date"",""Sales Order""],[""status"",""Sales Order""],[""per_delivered"",""Sales Order""],[""per_billed"",""Sales Order""],[""delivery_status"",""Sales Order""],[""sales_partner"",""Sales Order""],[""_user_tags"",""Sales Order""]],""sort_by"":""Sales Order.modified"",""sort_order"":""desc"",""sort_by_next"":null,""sort_order_next"":""desc""}","Selling"
"","""Purchase Order Report""","Purchase Order Report","Purchase Order","No","Report Builder",0,0,1,"","","{""filters"":[[""Purchase Order"",""docstatus"",""!="",""2""]],""columns"":[[""name"",""Purchase Order""],[""supplier"",""Purchase Order""],[""transaction_date"",""Purchase Order""],[""grand_total_import"",""Purchase Order""],[""status"",""Purchase Order""],[""per_received"",""Purchase Order""],[""per_billed"",""Purchase Order""],[""_user_tags"",""Purchase Order""],[""item_code"",""Purchase Order Item""],[""stock_qty"",""Purchase Order Item""],[""rate_per_weight_unit"",""Purchase Order Item""],[""warehouse"",""Purchase Order Item""]],""sort_by"":""Purchase Order.transaction_date"",""sort_order"":""asc"",""sort_by_next"":null,""sort_order_next"":""desc""}","Buying"
"","""Accounts Payable""","Accounts Payable","Purchase Invoice","Yes","Report Builder",1,0,1,"","","","Accounts"
"","""Accounts Receivable""","Accounts Receivable","Sales Invoice","Yes","Script Report",1,0,1,"","","","Accounts"
"","""Available Stock for Packing Items""","Available Stock for Packing Items","Sales BOM","Yes","Script Report",0,0,1,"","","","Selling"
"","""Bank Clearance Summary""","Bank Clearance Summary","Journal Voucher","Yes","Script Report",0,0,1,"","","","Accounts"
"","""Bank Reconciliation Statement""","Bank Reconciliation Statement","Journal Voucher","Yes","Script Report",0,0,1,"","","","Accounts"
"","""Batch-Wise Balance History""","Batch-Wise Balance History","Stock Ledger Entry","Yes","Script Report",0,0,1,"","","","Stock"
"","""Budget Variance Report""","Budget Variance Report","Cost Center","Yes","Script Report",0,0,1,"","","","Accounts"
"","""Completed Production Orders""","Completed Production Orders","Production Order","Yes","Query Report",0,0,1,"SELECT
  `tabProduction Order`.name as ""Production Order:Link/Production Order:200"",
  `tabProduction Order`.creation as ""Date:Date:120"",
  `tabProduction Order`.production_item as ""Item:Link/Item:150"",
  `tabProduction Order`.qty as ""To Produce:Int:100"",
  `tabProduction Order`.produced_qty as ""Produced:Int:100""
FROM
  `tabProduction Order`
WHERE
  `tabProduction Order`.docstatus=1
  AND ifnull(`tabProduction Order`.produced_qty,0) = `tabProduction Order`.qty","","","Manufacturing"
"","""Customer Account Head""","Customer Account Head","Account","Yes","Script Report",0,0,1,"","","","Accounts"
"","""Customer Acquisition and Loyalty""","Customer Acquisition and Loyalty","Customer","Yes","Script Report",1,0,1,"","","","Selling"
"","""Customers Not Buying Since Long Time""","Customers Not Buying Since Long Time","Sales Order","Yes","Script Report",0,0,1,"","","","Selling"
"","""Daily Time Log Summary""","Daily Time Log Summary","Time Log","Yes","Script Report",0,0,1,"","","","Projects"
"","""Delivered Items To Be Billed""","Delivered Items To Be Billed","Sales Invoice","Yes","Query Report",0,0,1,"select
    `tabDelivery Note`.`name` as ""Delivery Note:Link/Delivery Note:120"",
	`tabDelivery Note`.`customer` as ""Customer:Link/Customer:120"",
	`tabDelivery Note`.`posting_date` as ""Date:Date"",
	`tabDelivery Note`.`project_name` as ""Project"",
	`tabDelivery Note Item`.`item_code` as ""Item:Link/Item:120"",
	(`tabDelivery Note Item`.`qty` - ifnull((select sum(qty) from `tabSales Invoice Item` 
	    where `tabSales Invoice Item`.docstatus=1 and 
            `tabSales Invoice Item`.delivery_note = `tabDelivery Note`.name and
	        `tabSales Invoice Item`.dn_detail = `tabDelivery Note Item`.name), 0))
		as ""Qty:Float:110"",
	(`tabDelivery Note Item`.`base_amount` - ifnull((select sum(base_amount) from `tabSales Invoice Item` 
        where `tabSales Invoice Item`.docstatus=1 and 
            `tabSales Invoice Item`.delivery_note = `tabDelivery Note`.name and
            `tabSales Invoice Item`.dn_detail = `tabDelivery Note Item`.name), 0))
		as ""Amount:Currency:110"",
	`tabDelivery Note Item`.`item_name` as ""Item Name::150"",
	`tabDelivery Note Item`.`description` as ""Description::200""
from `tabDelivery Note`, `tabDelivery Note Item`
where
    `tabDelivery Note`.docstatus = 1 and
	`tabDelivery Note`.`status` != ""Stopped"" and
    `tabDelivery Note`.name = `tabDelivery Note Item`.parent and
    (`tabDelivery Note Item`.qty > ifnull((select sum(qty) from `tabSales Invoice Item` 
        where `tabSales Invoice Item`.docstatus=1 and 
            `tabSales Invoice Item`.delivery_note = `tabDelivery Note`.name and
            `tabSales Invoice Item`.dn_detail = `tabDelivery Note Item`.name), 0))
order by `tabDelivery Note`.`name` desc","","","Accounts"
"","""Delivery Note Trends""","Delivery Note Trends","Delivery Note","Yes","Script Report",0,0,1,"","","","Stock"
"","""Employee Birthday""","Employee Birthday","Employee","Yes","Script Report",0,0,1,"","","","HR"
"","""Employee Information""","Employee Information","Employee","Yes","Report Builder",0,0,1,"","","{""filters"":[],""columns"":[[""name"",""Employee""],[""employee_number"",""Employee""],[""date_of_joining"",""Employee""],[""branch"",""Employee""],[""department"",""Employee""],[""designation"",""Employee""],[""gender"",""Employee""],[""status"",""Employee""],[""company"",""Employee""],[""employment_type"",""Employee""],""Employee""],[""reports_to"",""Employee""],[""company_email"",""Employee""]],""sort_by"":""Employee.bank_ac_no"",""sort_order"":""desc"",""sort_by_next"":"""",""sort_order_next"":""desc""}","HR"
"","""Employee Leave Balance""","Employee Leave Balance","Employee","Yes","Script Report",0,0,1,"","","","HR"
"","""General Ledger""","General Ledger","GL Entry","Yes","Script Report",0,0,1,"","","","Accounts"
"","""Gross Profit""","Gross Profit","Sales Invoice","Yes","Script Report",0,0,1,"","","","Accounts"
"","""Item Prices""","Item Prices","Stock Ledger Entry","Yes","Script Report",0,0,1,"","","","Stock"
"","""Item Shortage Report""","Item Shortage Report","Bin","Yes","Report Builder",0,0,1,"","","{""filters"":[[""Bin"",""projected_qty"",""<"",""0""]],""columns"":[[""warehouse"",""Bin""],[""item_code"",""Bin""],[""actual_qty"",""Bin""],[""ordered_qty"",""Bin""],[""planned_qty"",""Bin""],[""reserved_qty"",""Bin""],[""projected_qty"",""Bin""]],""sort_by"":""Bin.projected_qty"",""sort_order"":""asc"",""sort_by_next"":"""",""sort_order_next"":""desc""}","Stock"
"","""Item-wise Purchase History""","Item-wise Purchase History","Purchase Order","Yes","Query Report",1,0,1,"select
    po_item.item_code as ""Item Code:Link/Item:120"",
	po_item.item_name as ""Item Name::120"",
	po_item.description as ""Description::150"",
	po_item.qty as ""Qty:Float:100"",
	po_item.stock_uom as ""UOM:Link/UOM:80"",
	po_item.base_rate as ""Rate:Currency:120"",
	po_item.base_amount as ""Amount:Currency:120"",
	po.name as ""Purchase Order:Link/Purchase Order:120"",
	po.transaction_date as ""Transaction Date:Date:140"",
	po.supplier as ""Supplier:Link/Supplier:130"",
	po_item.project_name as ""Project:Link/Project:130"",
	ifnull(po_item.received_qty, 0) as ""Received Qty:Float:120""
from
	`tabPurchase Order` po, `tabPurchase Order Item` po_item
where
	po.name = po_item.parent and po.docstatus = 1
order by po.name desc","","","Buying"
"","""Item-wise Purchase Register""","Item-wise Purchase Register","Purchase Invoice","Yes","Script Report",1,0,1,"","","","Accounts"
"","""Item-wise Sales History""","Item-wise Sales History","Sales Order","Yes","Query Report",1,0,1,"select
    so_item.item_code as ""Item Code:Link/Item:120"",
	so_item.item_name as ""Item Name::120"",
	so_item.description as ""Description::150"",
	so_item.qty as ""Qty:Float:100"",
	so_item.stock_uom as ""UOM:Link/UOM:80"",
	so_item.base_rate as ""Rate:Currency:120"",
	so_item.base_amount as ""Amount:Currency:120"",
	so.name as ""Sales Order:Link/Sales Order:120"",
	so.transaction_date as ""Transaction Date:Date:140"",
	so.customer as ""Customer:Link/Customer:130"",
	so.territory as ""Territory:Link/Territory:130"",
    so.project_name as ""Project:Link/Project:130"",
	ifnull(so_item.delivered_qty, 0) as ""Delivered Qty:Float:120"",
	ifnull(so_item.billed_amt, 0) as ""Billed Amount:Currency:120""
from
	`tabSales Order` so, `tabSales Order Item` so_item
where
	so.name = so_item.parent
	and so.docstatus = 1
order by so.name desc","","","Selling"
"","""Item-wise Sales Register""","Item-wise Sales Register","Sales Invoice","Yes","Script Report",1,0,1,"","","","Accounts"
"","""Items To Be Requested""","Items To Be Requested","Item","Yes","Query Report",0,0,1,"SELECT
    tabBin.item_code as ""Item:Link/Item:120"",
    tabBin.warehouse as ""Warehouse:Link/Warehouse:120"",
    tabBin.actual_qty as ""Actual:Float:90"",
    tabBin.indented_qty as ""Requested:Float:90"",
    tabBin.reserved_qty as ""Reserved:Float:90"",
    tabBin.ordered_qty as ""Ordered:Float:90"",
    tabBin.projected_qty as ""Projected:Float:90""
FROM
    tabBin, tabItem
WHERE
    tabBin.item_code = tabItem.name
    AND tabItem.is_purchase_item = ""Yes""
    AND tabBin.projected_qty < 0
ORDER BY
    tabBin.projected_qty ASC","","","Stock"
"","""Itemwise Recommended Reorder Level""","Itemwise Recommended Reorder Level","Item","Yes","Script Report",0,0,1,"","","","Stock"
"","""Lead Details""","Lead Details","Lead","Yes","Query Report",0,0,1,"SELECT
    `tabLead`.name as ""Lead Id:Link/Lead:120"",
    `tabLead`.lead_name as ""Lead Name::120"",
	`tabLead`.company_name as ""Company Name::120"",
	`tabLead`.status as ""Status::120"",
	concat_ws(', ', 
		trim(',' from `tabAddress`.address_line1), 
		trim(',' from tabAddress.address_line2), 
		tabAddress.state, tabAddress.pincode, tabAddress.country
	) as 'Address::180',
	`tabLead`.phone as ""Phone::100"",
	`tabLead`.mobile_no as ""Mobile No::100"",
	`tabLead`.email_id as ""Email Id::120"",
	`tabLead`.lead_owner as ""Lead Owner::120"",
	`tabLead`.source as ""Source::120"",
	`tabLead`.territory as ""Territory::120"",
    `tabLead`.owner as ""Owner:Link/User:120""
FROM
	`tabLead`
	left join `tabAddress` on (
		`tabAddress`.lead=`tabLead`.name
	)
WHERE
	`tabLead`.docstatus<2
ORDER BY
	`tabLead`.name asc","","","Selling"
"","""Maintenance Schedules""","Maintenance Schedules","Maintenance Schedule","Yes","Query Report",0,0,1,"SELECT
    ms_sch.scheduled_date as ""Schedule Date:Date:120"",
	ms_sch.item_code as ""Item Code:Link/Item:120"",
	ms_sch.item_name as ""Item Name::120"",
	ms_sch.serial_no as ""Serial No::120"",
	ms_sch.sales_person as ""Sales Person::120"",
	ms.customer_name as ""Customer:Link/Customer:120"",
	ms.address_display as ""Customer Address::120"",
	ms_item.prevdoc_docname as ""Sales Order:Link/Sales Order:120"",
	ms.company as ""Company:Link/Company:120""
	
FROM
	`tabMaintenance Schedule` ms, 
    `tabMaintenance Schedule Detail` ms_sch, 
    `tabMaintenance Schedule Item` ms_item
WHERE
	ms.name = ms_sch.parent and ms.name = ms_item.parent and ms.docstatus = 1
ORDER BY
	ms_sch.scheduled_date asc, ms_sch.item_code asc","","","Support"
"","""Material Requests for which Supplier Quotations are not created""","Material Requests for which Supplier Quotations are not created","Material Request","Yes","Query Report",0,0,1,"select 
    mr.name as ""Material Request:Link/Material Request:120"",
    mr.transaction_date as ""Date:Date:100"",
	mr_item.item_code as ""Item Code:Link/Item:120"",
	mr_item.qty as ""Qty:Float:100"",
	mr_item.item_name as ""Item Name::150"",
	mr_item.description as ""Description::200""
from
	`tabMaterial Request` mr, `tabMaterial Request Item` mr_item
where
	mr_item.parent = mr.name
	and mr.material_request_type = ""Purchase""
	and mr.docstatus = 1
	and mr.status != ""Stopped""
	and not exists(select name from `tabSupplier Quotation Item` where prevdoc_docname=mr.name)
order by mr.transaction_date asc","","","Stock"
"","""Monthly Attendance Sheet""","Monthly Attendance Sheet","Attendance","Yes","Script Report",0,0,1,"","","","HR"
"","""Monthly Salary Register""","Monthly Salary Register","Salary Slip","Yes","Script Report",1,0,1,"","","","HR"
"","""Open Production Orders""","Open Production Orders","Production Order","Yes","Query Report",0,0,1,"SELECT
  `tabProduction Order`.name as ""Production Order:Link/Production Order:200"",
  `tabProduction Order`.creation as ""Date:Date:120"",
  `tabProduction Order`.production_item as ""Item:Link/Item:150"",
  `tabProduction Order`.qty as ""To Produce:Int:100"",
  `tabProduction Order`.produced_qty as ""Produced:Int:100""
FROM
  `tabProduction Order`
WHERE
  `tabProduction Order`.docstatus=1
  AND ifnull(`tabProduction Order`.produced_qty,0) < `tabProduction Order`.qty
  AND NOT EXISTS (SELECT name from `tabStock Entry` where production_order =`tabProduction Order`.name)","","","Manufacturing"
"","""Ordered Items To Be Billed""","Ordered Items To Be Billed","Sales Invoice","Yes","Query Report",0,0,1,"select 
 `tabSales Order`.`name` as ""Sales Order:Link/Sales Order:120"",
 `tabSales Order`.`customer` as ""Customer:Link/Customer:120"",
 `tabSales Order`.`status` as ""Status"",
 `tabSales Order`.`transaction_date` as ""Date:Date"",
 `tabSales Order`.`project_name` as ""Project"",
 `tabSales Order Item`.item_code as ""Item:Link/Item:120"",
 `tabSales Order Item`.base_amount as ""Amount:Currency:110"",
 (`tabSales Order Item`.billed_amt * ifnull(`tabSales Order`.conversion_rate, 1)) as ""Billed Amount:Currency:110"",
 (ifnull(`tabSales Order Item`.base_amount, 0) - (ifnull(`tabSales Order Item`.billed_amt, 0) * ifnull(`tabSales Order`.conversion_rate, 1))) as ""Pending Amount:Currency:120"",
 `tabSales Order Item`.item_name as ""Item Name::150"",
 `tabSales Order Item`.description as ""Description::200""
from
 `tabSales Order`, `tabSales Order Item`
where
 `tabSales Order Item`.`parent` = `tabSales Order`.`name`
 and `tabSales Order`.docstatus = 1
 and `tabSales Order`.status != ""Stopped""
 and ifnull(`tabSales Order Item`.billed_amt,0) < ifnull(`tabSales Order Item`.amount,0)
order by `tabSales Order`.transaction_date asc","","","Accounts"
"","""Payment Period Based On Invoice Date""","Payment Period Based On Invoice Date","Journal Voucher","Yes","Script Report",1,0,1,"","","","Accounts"
"","""Pending SO Items For Purchase Request""","Pending SO Items For Purchase Request","Sales Order","Yes","Query Report",0,0,1,"select 
 so_item.item_code as ""Item Code:Link/Item:120"",
 so_item.item_name as ""Item Name::120"",
 so_item.description as ""Description::120"",
 so.`name` as ""S.O. No.:Link/Sales Order:120"",
 so.`transaction_date` as ""Date:Date:120"",
 mr.name as ""Material Request:Link/Material Request:120"",
 so.customer as ""Customer:Link/Customer:120"",
 so.territory as ""Terretory:Link/Territory:120"",
 sum(so_item.qty) as ""SO Qty:Float:100 "",
 sum(mr_item.qty) as ""Requested Qty:Float:100""
from
 `tabSales Order` so, `tabSales Order Item` so_item, 
 `tabMaterial Request` mr, `tabMaterial Request Item` mr_item
where
 so_item.`parent` = so.`name` and mr_item.sales_order_no = so.name
 and mr_item.parent = mr.name 
 and so.docstatus = 1 and so.status != ""Stopped"" 
 and mr.docstatus = 1 and mr.status != ""Stopped""
group by so.name, so_item.item_code
order by so.name desc, so_item.item_code asc","","","Selling"
"","""Permitted Documents For User""","Permitted Documents For User","User","Yes","Script Report",0,0,1,"","","","Core"
"","""Production Orders in Progress""","Production Orders in Progress","Production Order","Yes","Query Report",0,0,1,"SELECT
  `tabProduction Order`.name as ""Production Order:Link/Production Order:200"",
  `tabProduction Order`.creation as ""Date:Date:120"",
  `tabProduction Order`.production_item as ""Item:Link/Item:150"",
  `tabProduction Order`.qty as ""To Produce:Int:100"",
  `tabProduction Order`.produced_qty as ""Produced:Int:100""
FROM
  `tabProduction Order`
WHERE
  `tabProduction Order`.docstatus=1
  AND ifnull(`tabProduction Order`.produced_qty,0) < `tabProduction Order`.qty
  AND EXISTS (SELECT name from `tabStock Entry` where production_order =`tabProduction Order`.name)","","","Manufacturing"
"","""Project wise Stock Tracking""","Project wise Stock Tracking","Project","Yes","Report Builder",0,0,1,"","","","Projects"
"","""Purchase Invoice Trends""","Purchase Invoice Trends","Purchase Invoice","Yes","Script Report",0,0,1,"","","","Accounts"
"","""Purchase Order Items To Be Billed""","Purchase Order Items To Be Billed","Purchase Invoice","Yes","Query Report",1,0,1,"select 
    `tabPurchase Order`.`name` as ""Purchase Order:Link/Purchase Order:120"",
    `tabPurchase Order`.`transaction_date` as ""Date:Date:100"",
	`tabPurchase Order`.`supplier` as ""Supplier:Link/Supplier:120"",
	`tabPurchase Order Item`.`project_name` as ""Project"",
	`tabPurchase Order Item`.item_code as ""Item Code:Link/Item:120"",
	`tabPurchase Order Item`.base_amount as ""Amount:Currency:100"",
	`tabPurchase Order Item`.billed_amt as ""Billed Amount:Currency:100"", 
	(`tabPurchase Order Item`.base_amount - ifnull(`tabPurchase Order Item`.billed_amt, 0)) as ""Amount to Bill:Currency:100"",
	`tabPurchase Order Item`.item_name as ""Item Name::150"",
	`tabPurchase Order Item`.description as ""Description::200""
from
	`tabPurchase Order`, `tabPurchase Order Item`
where
	`tabPurchase Order Item`.`parent` = `tabPurchase Order`.`name`
	and `tabPurchase Order`.docstatus = 1
	and `tabPurchase Order`.status != ""Stopped""
	and ifnull(`tabPurchase Order Item`.billed_amt, 0) < ifnull(`tabPurchase Order Item`.base_amount, 0)
order by `tabPurchase Order`.transaction_date asc","","","Accounts"
"","""Purchase Order Trends""","Purchase Order Trends","Purchase Order","Yes","Script Report",0,0,1,"","","","Buying"
"","""Purchase Receipt Trends""","Purchase Receipt Trends","Purchase Receipt","Yes","Script Report",0,0,1,"","","","Stock"
"","""Purchase Register""","Purchase Register","Purchase Invoice","Yes","Script Report",1,0,1,"","","","Accounts"
"","""Quotation Trends""","Quotation Trends","Quotation","Yes","Script Report",0,0,1,"","","","Selling"
"","""Requested Items To Be Ordered""","Requested Items To Be Ordered","Purchase Order","Yes","Query Report",1,0,1,"select 
    mr.name as ""Material Request:Link/Material Request:120"",
	mr.transaction_date as ""Date:Date:100"",
	mr_item.item_code as ""Item Code:Link/Item:120"",
	sum(ifnull(mr_item.qty, 0)) as ""Qty:Float:100"",
	sum(ifnull(mr_item.ordered_qty, 0)) as ""Ordered Qty:Float:100"", 
	(sum(mr_item.qty) - sum(ifnull(mr_item.ordered_qty, 0))) as ""Qty to Order:Float:100"",
	mr_item.item_name as ""Item Name::150"",
	mr_item.description as ""Description::200""
from
	`tabMaterial Request` mr, `tabMaterial Request Item` mr_item
where
	mr_item.parent = mr.name
	and mr.material_request_type = ""Purchase""
	and mr.docstatus = 1
	and mr.status != ""Stopped""
group by mr.name, mr_item.item_code
having
	sum(ifnull(mr_item.ordered_qty, 0)) < sum(ifnull(mr_item.qty, 0))
order by mr.transaction_date asc","","","Buying"
"","""Requested Items To Be Transferred""","Requested Items To Be Transferred","Stock Entry","Yes","Query Report",1,0,1,"select 
    mr.name as ""Material Request:Link/Material Request:120"",
	mr.transaction_date as ""Date:Date:100"",
	mr_item.item_code as ""Item Code:Link/Item:120"",
	mr_item.qty as ""Qty:Float:100"",
	mr_item.ordered_qty as ""Transferred Qty:Float:100"", 
	(mr_item.qty - ifnull(mr_item.ordered_qty, 0)) as ""Qty to Transfer:Float:100"",
	mr_item.item_name as ""Item Name::150"",
	mr_item.description as ""Description::200""
from
	`tabMaterial Request` mr, `tabMaterial Request Item` mr_item
where
	mr_item.parent = mr.name
	and mr.material_request_type = ""Transfer""
	and mr.docstatus = 1
	and mr.status != ""Stopped""
	and ifnull(mr_item.ordered_qty, 0) < ifnull(mr_item.qty, 0)
order by mr.transaction_date asc","","","Stock"
"","""Sales Invoice Trends""","Sales Invoice Trends","Sales Invoice","Yes","Script Report",0,0,1,"","","","Accounts"
"","""Sales Order Trends""","Sales Order Trends","Sales Order","Yes","Script Report",0,0,1,"","","","Selling"
"","""Sales Partners Commission""","Sales Partners Commission","Sales Invoice","Yes","Query Report",0,0,1,"SELECT
    sales_partner as ""Sales Partner:Link/Sales Partner:150"",
	sum(net_total) as ""Invoiced Amount (Exculsive Tax):Currency:210"",
	sum(total_commission) as ""Total Commission:Currency:150"",
	sum(total_commission)*100/sum(net_total) as ""Average Commission Rate:Currency:170""
FROM
	`tabSales Invoice`
WHERE
	docstatus = 1 and ifnull(net_total, 0) > 0 and ifnull(total_commission, 0) > 0
GROUP BY
	sales_partner
ORDER BY
	""Total Commission:Currency:120""","","","Accounts"
"","""Sales Person Target Variance Item Group-Wise""","Sales Person Target Variance Item Group-Wise","Sales Order","Yes","Script Report",0,0,1,"","","","Selling"
"","""Sales Person-wise Transaction Summary""","Sales Person-wise Transaction Summary","Sales Order","Yes","Script Report",1,0,1,"","","","Selling"
"","""Sales Register""","Sales Register","Sales Invoice","Yes","Script Report",1,0,1,"","","","Accounts"
"","""Serial No Service Contract Expiry""","Serial No Service Contract Expiry","Serial No","Yes","Report Builder",0,0,1,"","","{""filters"":[[""Serial No"",""status"",""="",""Delivered""]],""columns"":[[""name"",""Serial No""],[""item_code"",""Serial No""],[""amc_expiry_date"",""Serial No""],[""maintenance_status"",""Serial No""],[""delivery_document_no"",""Serial No""],[""customer"",""Serial No""],[""customer_name"",""Serial No""],[""item_name"",""Serial No""],[""description"",""Serial No""],[""item_group"",""Serial No""],[""brand"",""Serial No""]],""sort_by"":""Serial No.amc_expiry_date"",""sort_order"":""asc"",""sort_by_next"":"""",""sort_order_next"":""desc""}","Stock"
"","""Serial No Status""","Serial No Status","Serial No","Yes","Report Builder",0,0,1,"","","{""sort_by"": ""Serial No.name"", ""sort_order"": ""desc"", ""sort_by_next"": """", ""filters"": [], ""sort_order_next"": ""desc"", ""columns"": [[""name"", ""Serial No""], [""item_code"", ""Serial No""], [""warehouse"", ""Serial No""], [""status"", ""Serial No""], [""item_name"", ""Serial No""], [""description"", ""Serial No""], [""item_group"", ""Serial No""], [""brand"", ""Serial No""], [""purchase_document_no"", ""Serial No""], [""purchase_date"", ""Serial No""], [""customer"", ""Serial No""], [""customer_name"", ""Serial No""], [""purchase_rate"", ""Serial No""], [""delivery_document_no"", ""Serial No""], [""delivery_date"", ""Serial No""], [""supplier"", ""Serial No""], [""supplier_name"", ""Serial No""]]}","Stock"
"","""Serial No Warranty Expiry""","Serial No Warranty Expiry","Serial No","Yes","Report Builder",0,0,1,"","","{""filters"":[[""Serial No"",""status"",""="",""Delivered""]],""columns"":[[""name"",""Serial No""],[""item_code"",""Serial No""],[""warranty_expiry_date"",""Serial No""],[""warranty_period"",""Serial No""],[""maintenance_status"",""Serial No""],[""purchase_document_no"",""Serial No""],[""purchase_date"",""Serial No""],[""supplier"",""Serial No""],[""supplier_name"",""Serial No""],[""delivery_document_no"",""Serial No""],[""delivery_date"",""Serial No""],[""customer"",""Serial No""],[""customer_name"",""Serial No""],[""item_name"",""Serial No""],[""description"",""Serial No""],[""item_group"",""Serial No""],[""brand"",""Serial No""]],""sort_by"":""Serial No.warranty_expiry_date"",""sort_order"":""asc"",""sort_by_next"":"""",""sort_order_next"":""asc""}","Stock"
"","""Stock Ageing""","Stock Ageing","Item","Yes","Script Report",0,0,1,"","","","Stock"
"","""Stock Ledger""","Stock Ledger","Stock Ledger Entry","Yes","Script Report",0,0,1,"","","","Stock"
"","""Stock Projected Qty""","Stock Projected Qty","Item","Yes","Script Report",1,0,1,"","","","Stock"
"","""Supplier Account Head""","Supplier Account Head","Account","Yes","Script Report",0,0,1,"","","","Accounts"
"","""Supplier-Wise Sales Analytics""","Supplier-Wise Sales Analytics","Stock Ledger Entry","Yes","Script Report",1,0,1,"","","","Stock"
"","""Territory Target Variance Item Group-Wise""","Territory Target Variance Item Group-Wise","Sales Order","Yes","Script Report",0,0,1,"","","","Selling"
"","""ToDo""","ToDo","ToDo","Yes","Script Report",0,0,1,"","","","Core"
